index p_aligned_reads_bowtie p_aligned_reads_kraken p_lacto_bowtie p_lacto_kraken p_aceto_bowtie p_aceto_kraken p_yeasts_bowtie p_yeasts_kraken nb_species_kraken nb_species_metagenome
1_1 0 49 0 67 0 2 0 27 2223 10
1_2 0 70 0 21 0 1 0 7 2208 10
2_1 0 47 0 82 0 3 0 0 6219 13
2_2 0 73 0 25 0 1 0 1 6825 13
3_1 0 95 0 51 0 1 0 48 21 21
3_2 0 77 0 24 0 1 0 10 21 21
4_1 92 4 46 46 1 12 44 21 1460 9
4_2 73 7 16 62 1 3 7 2 1589 10
5_1 92 5 46 32 1 8 44 2 3273 13
5_2 73 10 16 55 1 3 7 1 5399 13
6_1 92 4 46 45 1 5 44 50 21 21
6_2 73 3 16 31 1 4 7 9 21 21
